anime_id;Name;Rating;Type;Genre;Studios;Producers;Licensors;Voice_Actors
8476;Otome Youkai Zakuro (Zakuro);7.48;TV;['Demons', 'Historical', 'Military', 'Romance', 'Seinen', 'Supernatural'];['J.C.Staff'];['Aniplex'];['NIS America, Inc.'];['Nakahara, Mai', 'Hanazawa, Kana', 'Sakurai, Takahiro', 'Hino, Satoshi', 'Toyosaki, Aki', 'Kaji, Yuki', 'Horie, Yui']
30736;Shingeki no Bahamut: Virgin Soul (Rage of Bahamut: Virgin Soul);7.47;TV;['Action', 'Adventure', 'Demons', 'Supernatural', 'Magic', 'Fantasy'];['MAPPA'];['Cygames'];[None];['Yoshino, Hiroyuki', 'Morita, Masakazu', 'Morohoshi, Sumire', 'Umehara, Yuuichirou', 'Inoue, Gou']
36962;Shokugeki no Souma: San no Sara - Kyokuseiryou no Erina;7.48;OVA;['Drama', 'Shounen'];['J.C.Staff'];[None];[None];[None, None]
8995;Tales of Symphonia The Animation: Sekai Tougou-hen;7.48;OVA;['Action', 'Adventure', 'Magic', 'Martial Arts', 'Fantasy'];['ufotable'];[None];[None];['Tachiki, Fumihiko', 'Onosaka, Masaya', 'Konishi, Katsuyuki', 'Okamura, Akemi', 'Mizuki, Nana', 'Kuwashima, Houko', 'Orikasa, Ai', 'Touma, Yumi', 'Ootsuka, Akio']
5538;Tegamibachi: Hikari to Ao no Gensou Yawa;7.48;Special;['Adventure', 'Slice of Life', 'Supernatural', 'Fantasy', 'Shounen'];['Studio Pierrot'];[None];[None];['Sawashiro, Miyuki', 'Fujimura, Ayumi', 'Nagasawa, Nao']
10731;Tennis no Ouji-sama Movie 2: Eikokushiki Teikyuu Shiro Kessen!;7.48;Movie;['Action', 'Comedy', 'Sports', 'School', 'Shounen'];['Production I.G', 'M.S.C'];['Nihon Ad Systems'];[None];['Minagawa, Junko', None]
11889;The iDOLM@STER: 765 Pro to Iu Monogatari;7.48;Special;['Music', 'Comedy', 'Drama'];['A-1 Pictures'];['Aniplex'];[None];['Imai, Asami', 'Hasegawa, Akiko', 'Hirata, Hiromi', 'Hara, Yumi', 'Kugimiya, Rie', 'Nakamura, Eriko', 'Numakura, Manami', 'Nigo, Mayako', 'Asakura, Azumi', 'Takahashi, Chiaki']
9047;Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato Desu kara;7.48;OVA;['Action', 'Sci-Fi', 'Super Power'];['J.C.Staff'];['Geneon Universal Entertainment', 'Movic', 'AT-X', 'ASCII Media Works'];[None];['Satou, Rina', 'Arai, Satomi', 'Itou, Kanae', 'Toyosaki, Aki']
24365;Tonari no Seki-kun Specials;7.48;Special;['Comedy', 'School', 'Seinen'];['Shin-Ei Animation'];['Media Factory'];[None];['Shimono, Hiro', 'Hanazawa, Kana']
691;Yawara!;7.48;TV;['Action', 'Comedy', 'Drama', 'Martial Arts', 'Romance', 'Slice of Life', 'Sports'];['Madhouse'];['Kitty Films'];['AnimEigo'];['Minaguchi, Yuko', 'Nagai, Ichiro', 'Seki, Toshihiko']
33302;Yowamushi Pedal: Spare Bike;7.48;Movie;['Comedy', 'Sports', 'Drama', 'Shounen'];['TMS Entertainment'];[None];[None];['Morikubo, Shoutarou', 'Kakihara, Tetsuya']
481;Yu☆Gi☆Oh! Duel Monsters (Yu-Gi-Oh!);7.48;TV;['Adventure', 'Game', 'Shounen'];['Gallop'];['Nihon Ad Systems'];['4Kids Entertainment', 'Flatiron Film Company'];['Kazama, Shunsuke', 'Tsuda, Kenjirou', 'Takahashi, Hiroki', 'Kazama, Shunsuke', 'Maeda, Aki', 'Kondou, Takayuki']
2768;CLAMP in Wonderland 2;7.48;Music;['Action', 'Fantasy', 'Magic', 'Comedy', 'Romance', 'Music', 'Drama'];['Madhouse'];['Victor Entertainment'];[None];[None, None]
2409;Gokudou-kun Manyuuki (Gokudo);7.48;TV;['Adventure', 'Comedy', 'Fantasy', 'Magic'];['Trans Arts'];['SoftX'];['Media Blasters', 'Discotek Media'];['Ishida, Akira', 'Miki, Shinichiro', 'Yoshida, Sayuri', 'Kingetsu, Mami']
5291;Hokuto no Ken Zero: Kenshirou Den;7.48;Movie;['Martial Arts'];['TMS Entertainment'];[None];[None];['Abe, Hiroshi']
1773;Hokuto no Ken: Raoh Gaiden Junai-hen;7.48;Movie;['Action', 'Adventure', 'Martial Arts'];['TMS Entertainment'];['North Stars Pictures'];[None];['Hanawa, Eiji', 'Shibuya, Shigeru', 'Jou, Masako']
38533;Huyao Xiao Hongniang: Zhu Ye (Fox Spirit Matchmaker 7th Season);7.5;ONA;['Comedy', 'Historical', 'Supernatural', 'Drama', 'Romance'];['Haoliners Animation League'];['Tencent Animation & Comics', 'Tencent Penguin Pictures'];[None];[None]
11013;Inu x Boku SS (Inu X Boku Secret Service);7.48;TV;['Comedy', 'Supernatural', 'Romance', 'Shounen'];['David Production'];['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic'];['Sentai Filmworks'];['Nakamura, Yuuichi', 'Hidaka, Rina']
36903;Kengan Ashura;7.48;ONA;['Action', 'Martial Arts'];['Larx Entertainment'];['Nihon Ad Systems', 'Mainichi Broadcasting System', 'Pony Canyon', 'Shogakukan', 'KLab', 'Netflix', 'Magnet'];['Ponycan USA'];['Suzuki, Tatsuhisa', 'Cho']
3392;Kiniro no Corda: Primo Passo - Hitonatsu no Encore;7.48;Special;['Harem', 'Music', 'Romance', 'School', 'Shoujo'];[None];['Aniplex', 'Yumeta Company', 'Hakusensha', 'Koei'];['Sentai Filmworks'];['Taniyama, Kishou', 'Morita, Masakazu', 'Takagi, Reiko', 'Fukuyama, Jun', 'Kishio, Daisuke', 'Itou, Kentarou', 'Sato, Akemi']
17187;Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost Pain;7.48;Movie;['Sci-Fi', 'Police', 'Psychological', 'Mecha'];['Production I.G'];['Bandai Visual', 'Dentsu', 'Kodansha', 'flying DOG', 'TOHO animation'];['Funimation'];['Sakamoto, Maaya']
2971;Kyou kara Maou! R;7.47;OVA;['Adventure', 'Comedy', 'Demons', 'Fantasy', 'Shoujo'];['Studio Deen'];[None];['Discotek Media'];['Saiga, Mitsuki', 'Sakurai, Takahiro', 'Morikawa, Toshiyuki', 'Inoue, Kazuhiko', 'Ootsuka, Akio']
39113;Lilac;7.47;Music;['Music'];[None];[None];[None];[None]
